OID;OBJECTID;IDDATACION;CODIGOMUES;UNIDADGEOL;LITOLOGIA;EDADAÑOSB;ERRORAÑOS;EDADMA;ERRORMA;EDADGRASIM;EDADGRAS_1;EDADESTRAT;EDADESHERE;METODODATA;MATERIALAN;RELACIONIN;MSWD;PX2;DISPERSION;NUMEROGRAN;NUMEROALIC;FUENTEGEOR;COORDENADA;COORDENA_1;SISTEMACOO;LATITUD;LONGITUD;REFERENCIA;CITAREFERE;IDREFERENC;COMENTARIO;URL
1081;1082;1055;SG–008;Stock de Támesis; ; ; ;6,55;+ 1,33/– 1,11; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Circón; ; ; ; ;30; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1120977;1149914;MAGNA_Colombia_Oeste;"5° 41' 18,959"" N";"75° 43' 27,511"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad pooled; 
1082;1083;1073;Chocó–456.9–457.2–ML–012;Formación Mayorquín; ; ; ;6,82;± 7,13; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2;Se tomaron las coordenadas listadas en los anexos las cuales varían varios metros con respecto a las reportadas en el informe final;1044920;1048332;MAGNA_Colombia_Oeste;"5° 00' 08,169"" N";"76° 38' 30,087"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo Chocó–1 ST–S a 456,9 m desde la base del pozo; 
1083;1084;1075;M1–MP–011;Formación Viche;Arenita; ; ;6,85;± 170,46; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;3; ;688492;847272;MAGNA_Colombia_Oeste;"1° 46' 42,940"" N";"78° 27' 00,036"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Muestra de ripios recuperados del pozo Majagua–1; 
1084;1085;1078;M1–MP–019;Formación Cayapas;Arenita; ; ;6,9;± 3,09; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1; ;688492;847272;MAGNA_Colombia_Oeste;"1° 46' 42,940"" N";"78° 27' 00,036"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Muestra de ripios recuperados del pozo Remolinogrande–1, según el código de la muestra pertenece al pozo Majagua–1 y no al pozo Remolinogrande–1 como esta listado en la Tabla 2 del Anexo 17; 
1085;1086;1084;M1–MP–004;Formación Chagüi;Arenita; ; ;7,08;+ 22,12/– 5,37; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;3; ; ;688492;847272;MAGNA_Colombia_Oeste;"1° 46' 42,940"" N";"78° 27' 00,036"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Edad pooled, muestra de ripios recuperados del pozo Majagua–1; 
1086;1087;1087;P28–29,21–29,51–ML–005;Formación Moñitos; ; ; ;7,17;± 2,01; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1483589;1110651;MAGNA_Colombia_Oeste;"8° 58' 03,481"" N";"76° 04' 16,838"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo P28 a 29,21 m desde la base del pozo; 
1087;1088;1088;SG–008;Stock de Támesis; ; ; ;ca. 7,2; ; ; ;Mioceno (N1); ;U–Pb LA–MC–ICP–MS;Circón; ; ; ; ;40; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1120977;1149914;MAGNA_Colombia_Oeste;"5° 41' 18,959"" N";"75° 43' 27,511"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Interpretada como la edad de cristalización magmática; 
1088;1089;1098;Chocó–456.9–457.2–ML–012;Formación Mayorquín; ; ; ;7,39;± 0,91; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1044920;1048332;MAGNA_Colombia_Oeste;"5° 00' 08,169"" N";"76° 38' 30,087"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo Chocó–1 ST–S a 456,9 m desde la base del pozo; 
1089;1090;1117;ESP–01;Formación Espinal; ; ; ;7,62;± 2,92; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1; ;910106;1048388;MAGNA_Colombia_Oeste;"3° 46' 59,384"" N";"76° 38' 30,817"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1090;1091;1124;P19–241.71–242.01–ML–003;Formación Sincelejo; ; ; ;7,73;± 4,83; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1434849;845761;MAGNA_Colombia_Bogota;"8° 31' 32,820"" N";"75° 28' 41,900"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo P19 a 241,71 m desde la base del pozo; 
1091;1092;1141;P28–29,21–29,51–ML–005;Formación Moñitos; ; ; ;7,97;± 1,49; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1483589;1110651;MAGNA_Colombia_Oeste;"8° 58' 03,481"" N";"76° 04' 16,838"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo P28 a 29,21 m desde la base del pozo; 
1092;1093;1159;RG–MP–012;Formación 1 Sur;Arenita; ; ;8,31;+ 3,44/– 2,43; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;40; ; ;739533;839861;MAGNA_Colombia_Oeste;"2° 14' 23,962"" N";"78° 31' 01,200"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Edad pooled, muestra de ripios recuperados del pozo Remolinogrande–1; 
1093;1094;1168;G02–G1–003;Formaciones Tasca–Playa Palmeras;Arenita; ; ;8,56;± 3,41; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1; ;816576;874493;MAGNA_Colombia_Oeste;"2° 56' 12,738"" N";"78° 12' 22,867"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1094;1095;1183;RG–MP–012;Formación 1 Sur;Arenita; ; ;8,8;± 2,48; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;3; ;739533;839861;MAGNA_Colombia_Oeste;"2° 14' 23,962"" N";"78° 31' 01,200"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Muestra de ripios recuperados del pozo Remolinogrande–1; 
1095;1096;1187;CH–ZS–MP–016;Formación Condoto; ; ; ;8,85;± 1,27; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1044920;1048332;MAGNA_Colombia_Oeste;"5° 00' 08,169"" N";"76° 38' 30,087"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo Chocó–1 ST–P; 
1096;1097;1199;T02G4–014;Formación San Agustín;Arenita; ; ;9;+ 11,41/– 5,03; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;18; ; ;704439;1164574;MAGNA_Colombia_Oeste_Oeste;"1° 55' 21,654"" N";"78° 35' 54,432"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Edad pooled; 
1097;1098;1211;M1–MP–001;Formación San Agustín;Arenita; ; ;9,29;+ 2,6/– 3,61; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;40; ; ;688492;847272;MAGNA_Colombia_Oeste;"1° 46' 42,940"" N";"78° 27' 00,036"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Edad pooled, muestra de ripios recuperados del pozo Majagua–1; 
1098;1099;1231;Patía 29–Ra–001; ; ; ; ;9,6;± 5,1; ; ;Mioceno (N1); ;Ar–Ar; ; ;0,71; ; ; ; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;710939;991787;MAGNA_Colombia_Oeste;"1° 58' 55,591"" N";"77° 09' 04,783"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad de isócrona inversa, muestra de un núcleo de perforación del pozo Patía 29; 
1099;1100;1235;G02–G1–003;Formación Tasca;Arenita; ; ;9,61;± 1,92; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2; ;816576;874493;MAGNA_Colombia_Oeste;"2° 56' 12,738"" N";"78° 12' 22,867"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1100;1101;1237;Patía 3;Formación Galeón; ; ; ;9,69;+ 2,45/– 1,96; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;40; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;728122;1006210;MAGNA_Colombia_Oeste;"2° 08' 15,021"" N";"77° 01' 18,048"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad pooled, muestra de un núcleo de perforación del pozo Patía 3; 
1101;1102;1249;Chocó–1 ST–P–Mp03;Formación Mayorquín; ; ; ;9,92;+ 5/– 3,33; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;16; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1044920;1048332;MAGNA_Colombia_Oeste;"5° 00' 08,169"" N";"76° 38' 30,087"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad pooled, muestra de un núcleo de perforación del pozo Chocó–1 ST–P; 
1102;1103;1263;TO4 G2–046;Formación Cascajal;Arenita; ; ;10,17;± 4,25; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2; ;694243;1149874;MAGNA_Colombia_Oeste_Oeste;"1° 49' 50,195"" N";"78° 43' 50,194"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1103;1104;1269;P19–241.71–242.01–ML–003;Formación Sincelejo; ; ; ;10,27;± 2,33; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;1;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1434849;845761;MAGNA_Colombia_Bogota;"8° 31' 32,820"" N";"75° 28' 41,900"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo P19 a 241,71 m desde la base del pozo; 
1104;1105;1270;G07–G01–053–4;Formación Playa Palmeras;Arenita; ; ;10,29;± 2,78; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1; ; ;816620;874639;MAGNA_Colombia_Oeste;"2° 56' 14,179"" N";"78° 12' 18,156"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1105;1106;1282;RG–MP–012;Formación 1 Sur;Arenita; ; ;10,55;± 4,56; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2; ;739533;839861;MAGNA_Colombia_Oeste;"2° 14' 23,962"" N";"78° 31' 01,200"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Muestra de ripios recuperados del pozo Remolinogrande–1; 
1106;1107;1286;Din 12–3R (población 1);Grupo Honda; ; ; ;10,6;± 0,4; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;24;6;17; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central de población 1, muestra del pozo Dina–12 a 3440 pies de profundidad; 
1107;1108;1289;Patía 3;Formación Galeón; ; ; ;10,65;+ 1,48/– 1,3; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Circón; ; ; ; ;30; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;728122;1006210;MAGNA_Colombia_Oeste;"2° 08' 15,021"" N";"77° 01' 18,048"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad pooled, muestra de un núcleo de perforación del pozo Patía 3; 
1108;1109;1311;Din 12–3R (población 1);Grupo Honda; ; ; ;11,1;± 0,3; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ; ; ; ; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central ponderada de población 1, interpretada como la edad máxima de depositación del Grupo Honda, muestra del pozo Dina–12 a 3440 pies de profundidad; 
1109;1110;1317;G07–G01–053–2;Formación Playa Palmeras;Arenita; ; ;11,18;± 2,64; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1; ; ;816620;874639;MAGNA_Colombia_Oeste;"2° 56' 14,179"" N";"78° 12' 18,156"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1110;1111;1326;T04G2–036;Formación Cascajal;Arenita; ; ;11,42;± 15,15; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;3; ;702664;1164483;MAGNA_Colombia_Oeste_Oeste;"1° 54' 23,908"" N";"78° 35' 57,409"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
1111;1112;1332;CH–ZS–MP–003;Formación Condoto; ; ; ;11,55;± 222,01; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1044920;1048332;MAGNA_Colombia_Oeste;"5° 00' 08,169"" N";"76° 38' 30,087"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo Chocó–1 ST–P; 
1112;1113;1335;Din 12–1 Rosados;Grupo Honda; ; ; ;11,6;± 0,7; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;7;16;5; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central, muestra del pozo Dina–12 a 2064 pies de profundidad; 
1113;1114;1336;Din 12–3R (población 1);Grupo Honda; ; ; ;11,6;± 0,4; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;100;14;19; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central de población 1, muestra del pozo Dina–12 a 3440 pies de profundidad, edad obtenida por la profesora Gloria Elena TORO de la Universidad EAFIT; 
1114;1115;1344;FM–GALEON; ; ; ; ;11,77;+ 3,65/– 2,79; ; ;Mioceno (N1); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;40; ;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;938925;1103793;MAGNA_Colombia_Oeste;"4° 02' 36,057"" N";"76° 08' 34,263"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad pooled; 
1115;1116;1348;Din 12–1 Rosados;Grupo Honda; ; ; ;11,8;± 0,5; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;7–16;16–10;5–4; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central ponderada, muestra del pozo Dina–12 a 2064 pies de profundidad; 
1116;1117;1349;Din 12–3R;Grupo Honda; ; ; ;11,8;± 0,6; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;<1;27;19; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central, muestra del pozo Dina–12 a 3440 pies de profundidad; 
1117;1118;1358;Din 12–1 Rosados;Grupo Honda; ; ; ;12,0;± 0,7; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;16;10;4; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central, muestra del pozo Dina–12 a 2064 pies de profundidad, edad obtenida por la profesora Gloria Elena TORO de la Universidad EAFIT; 
1118;1119;1378;P16–155,67–155,97ML–003;Formaciones Ciénaga de Oro y Porquera; ; ; ;12,46;± 1,54; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;2;Se tomaron las coordenadas listadas en los anexos que se diferencian varios metros con respecto a las reportadas en el informe final;1441552;837049;MAGNA_Colombia_Bogota;"8° 35' 09,873"" N";"75° 33' 27,519"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011b. Estudio integrado de los núcleos y registros obtenidos de los pozos someros (slim holes) perforados por la ANH. Agencia Nacional de Hidrocarburos, inédito, 304 p. Manizales.;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011b);4;Edad corregida, muestra de un núcleo de perforación del pozo P16 a 155,67 m desde la base del pozo; 
1119;1120;1380;M1–MP–005;Formación Chagüi;Arenita; ; ;12,51;± 26,49; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;3; ;688492;847272;MAGNA_Colombia_Oeste;"1° 46' 42,940"" N";"78° 27' 00,036"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3;Muestra de ripios recuperados del pozo Majagua–1; 
1120;1121;1382;Din 12–3R;Grupo Honda; ; ; ;12,6;± 0,4; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;<1;27–31;19–24; ;Se obtuvo la localización del pozo Dina–12 del sitio web del EPIS;833172;862320;MAGNA_Colombia_Bogota;"3° 05' 12,504"" N";"75° 18' 57,601"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central ponderada, muestra del pozo Dina–12 a 3440 pies de profundidad; 
1121;1122;1383;R1–3 (población 1);Grupo Honda; ; ; ;12,6;± 1,0; ; ;Mioceno (N1); ;Huellas de fisión;Circón; ; ;90;<1;4; ;Se obtuvo la localización del pozo Rosita–1 del sitio web del EPIS;937730;894847;MAGNA_Colombia_Bogota;"4° 01' 57,092"" N";"75° 01' 27,848"" W";Schwabe, E. 2001. Termocronología por trazas de fisión en el Valle Superior del Magdalena. Tesis de maestría, Universidad EAFIT, 37 p. Medellín.;Schwabe (2001);267;Edad central de población 1, muestra del pozo Rosita–1 a 3240–3690 pies de profundidad; 
1122;1123;1386;G05–G1–038;Formación Tasca;Arenita; ; ;12,62;± 9,45; ; ;Mioceno (N1); ;U–Th/He;Apatito; ; ; ; ;1;3; ;816399;874486;MAGNA_Colombia_Oeste;"2° 56' 06,957"" N";"78° 12' 23,113"" W";Agencia Nacional de Hidrocarburos & Universidad de Caldas. 2011a. Estudio geológico integrado en la cuenca Tumaco onshore. Síntesis cartográfica, sísmica y análisis litoestratigráfico, petrográfico, geocronológico, termocronológico y geoquímico;Agencia Nacional de Hidrocarburos & Universidad de Caldas (2011a);3; ; 
